Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Derived,Indicator Name,Unit,Footnote (2022-2023),2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Costs,F12,Derived,Operating cost per property: wastewater,$/property,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Costs,F13,Report,Combined operating cost per property: water supply and wastewater,$/property,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Capital Expenditure,F14,Report,Capital expenditure: water supply,$ 000s,,31470,18679.331,6102.328,5991.109,9401.442,9033.311,6317.688,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Capital Expenditure,F15,Report,Capital expenditure: wastewater,$ 000s,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Capital Expenditure,F16,Derived,Total capital expenditure: water supply and wastewater,$ 000s,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9033,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Capital Expenditure,F28,Derived,Capital expenditure per property: water supply,$/property,,2907,1762.3,574.57,567.99,903.65,872.91,604.67,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Capital Expenditure,F29,Derived,Capital expenditure per property: wastewater,$/property,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Economic real rate of return,F17,Report,Economic real rate of return: water supply,ratio,,-0.3,-0.29,-0.4,0.2,0.6,1,0.96,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Economic real rate of return,F18,Report,Economic real rate of return: wastewater,ratio,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Economic real rate of return,F19,Report,Economic real rate of return: water supply and wastewater,ratio,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Dividends,F20,Report,Dividends,$ 000s,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,0,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Dividends,F21,Derived,Dividend payout ratio,ratio,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,0,0,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Net debt to equity,F22,Report,Net debt to equity ratio,ratio,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,-15.7,-15.5,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Interest cover,F23,Report,Interest cover ratio,ratio,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,>1,>1,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Dividends,F24,Report,Net profit after tax (NPAT),$ 000s,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4384.432,4581.129,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Net profit after tax,F30,Derived,Net profit after tax ratio,ratio,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.1612,19.3814,0,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Community service obligations (CSOs),F25,Report,Community service obligations ($),$ 000s,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,98.29,112.113,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Capital works grants,F26,Report,Capital works grants: water supply,$ 000s,,3799,102.745,0,0,0,0,0,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Capital works grants,F27,Report,Capital works grants: wastewater,$ 000s,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Costs,IF11,Report,Operating cost: water supply,$ 000s,,16418,15153.879,16236.732,18209.609,17880.814,16516.216,13749.351,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Finance,Costs,IF12,Report,Operating cost: wastewater,$ 000s,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,No data,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Public Health,Water quality compliance,H1,Report,Water quality guidelines,provided as text,,Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation (Yes),Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation (Yes),Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation (Yes),Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation (Yes ),Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation( Yes ),Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation( Yes ),Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Public Health,Water quality compliance,H3,Report,Percentage of population where microbiological compliance was achieved,%,,100,100,100,100,100,100,100,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Public Health,Water quality compliance,H4,Report,Number of zones where chemical compliance was achieved,zones,,4,4,4,4,4,4,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Public Health,Water quality compliance,H4a,Report,Total number of zones,zones,,4,4,4,4,4,4,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Public Health,Water quality compliance,H5,Report,Risk-based drinking water management plan externally assessed,yes/no,,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1,Report,Tariff structure: water supply,provided as text,,Two Part,Two Part,Two Part,Two Part,Two Part,Two Part,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.2,Report,Fixed charge: water supply,$,,212,220.47,223.57,227.19,223.78,220.92,218.74,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.3,Report,Usage charge: step 1,$/kL,,2.6,2.7,2.74,2.78,2.74,2.7,2.62,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.4,Report,Usage charge: step 2,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.5,Report,Usage charge: step 3,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.6,Report,Usage charge: step 4,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.7,Report,Usage charge: step 5,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.12,Report,Special levies: water supply,$,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.13,Report,Income from special levies retained by the utility: water supply,yes/no,,No,No,No,No,No,No,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.3a,Report,Upper bound of usage: step 1,kL,,Not applicable,Not applicable,Not applicable,Not applicable,,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.4a,Report,Upper bound of usage: step 2,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.5a,Report,Upper bound of usage: step 3,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.6a,Report,Upper bound of usage: step 4,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P1.7a,Report,Upper bound of usage: step 5,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Annual bill,P2,Report,Annual residential bill based on 200 kL per annum: water supply,$,,732,759.89,771.31,783.82,771.73,761.51,753.07,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Annual bill,P3,Report,Typical residential bill: water supply,$,,779.57,783.95,853.61,1027.44,768.14,988.33,908.35,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P4,Report,Tariff structure: wastewater Definition,provided as text,,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P4.1,Report,Fixed charge: wastewater,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P4.2,Report,Usage charge: wastewater,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P4.3,Report,Special levies: wastewater,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,0,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Residential tariff structure,P4.4,Report,Income from special levies retained by the utility: wastewater,yes/no,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Annual bill,P5,Report,Annual residential bill based on 200 kL per annum: wastewater,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Annual bill,P6,Report,Typical residential bill: wastewater,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Annual bill,P7,Derived,Total annual residential bill based on 200 kL per annum,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,762,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Pricing,Annual bill,P8,Derived,Total typical residential bill,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,989,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Sources,W1,Report,Volume of water sourced from surface water,ML,,3205,3027,3023,3720,4197,3728,3800,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Sources,W2,Report,Volume of water sourced from groundwater,ML,,4628,4385,4488,5246,5115,4877,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Sources,W3.1,Report,Volume of water sourced from desalination of marine water,ML,,0,0,0,0,0,0,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Transfers,W5,Derived,Total volume of water received from other service providers or operational areas within the urban water system,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",371,383,385,424,445,407,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Transfers,W5.3,Report,"Volume of water, excluding recycled water, received from other service providers or operational areas within the urban water supply system",ML,,371,383,385,424,445,407,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Transfers,W6,Report,Volume of recycled water received from other service providers or operational areas within the urban water supply system,ML,,0,0,0,0,0,0,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Sources,W7,Derived,Total volume of water sourced,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",7942,7534,7637,9082,9447,8730,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W8,Derived,Total volume of water supplied.to residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",1623,1536,1698,2110,2208,2050,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W8.3,Report,Volume of water supplied to residential customers,ML,,1623,1536,1698,2110,2208,2050,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W9,Derived,Total volume of water supplied to non-residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",3802,3501,3491,3978,4013,4085,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W9.3,Report,Volume of water supplied to non-residential customers,ML,,3802,3501,3491,3978,4013,4085,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W10.1,Report,Volume of non-revenue water,ML,,1016,718,802,476,340,725,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Production,W11,Derived,Total volume of urban water supplied,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",5425,5037,5189,6088,6221,6135,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Production,W11.3,Report,Volume of potable water produced for supply into the urban water supply system,ML,,7579,7129,7263,8802,8848,8621,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W12,Derived,Average volume of residential water supplied per property,KL/property,,231.8571,209,230,288,305,287,261,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W13,Report,Volume of water returned as environmental flows from outside of the urban water supply system,ML,,0,0,0,0,0,0,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Transfers,W14,Derived,Total volume of water exported to other service providers or operational areas within the urban water supply system,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",2514,2419,2416,3089,3072,2868,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Transfers,W14.3,Report,"Volume of water, excluding recycled water, exported to other service providers or operational areas within the urban water supply system",ML,,2514,2419,2416,3089,3072,2868,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Transfers,W15,Report,Volume of recycled water exported to other service providers or operational areas within the urban water supply system,ML,,0,0,No data,0,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Wastewater collected,W16,Report,"Volume of wastewater, excluding trade waste, collected",ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Wastewater collected,W17,Report,Volume of trade waste collected,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Wastewater collected,W18,Derived,Total volume of wastewater collected,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Transfers,W18.1,Report,Volume of wastewater exported to other service providers or operational areas within the urban wastewater system,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Transfers,W18.2,Report,Volume of wastewater received from other service providers or operational areas within the urban wastewater system,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Extraction for sewer mining,W18.3,Report,Volume of wastewater taken through sewer mining,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Inflow to plant,W18.4,Report,Volume of wastewater inflow to wastewater treatment plants,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Wastewater collected,W19,Derived,Average volume of wastewater collected per property,KL/property,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W21,Report,Volume of recycled water supplied to non-residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",0,0,No data,0,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W23,Report,Volume of recycled water supplied as environmental flows,ML,,0,0,No data,0,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W25.1,Report,Volume of recycled water supplied to managed aquifer recharge,ML,,0,0,No data,0,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W26,Derived,Total volume of recycled water supplied,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",0,0,No data,0,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W27,Derived,Recycled water as a percentage of total wastewater collected,%,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",Not applicable,Not applicable,No data,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W28.4,Report,Volume of urban stormwater supplied to residential customers,ML,,0,0,0,0,0,0,20,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W28.5,Report,Volume of urban stormwater supplied to non-residential customers,ML,,0,0,0,0,0,0,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Outflow from plant,W30,Report,Volume of wastewater losses and spills,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W29,Report,Volume of treated wastewater disposals,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W31,Report,Volume of water returned to surface water or groundwater from the urban water supply system,ML,,262,261,259,308,310,282,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Outflow from plant,W18.5,Report,Volume of treated effluent outflow from wastewater treatment plants,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3003,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goldenfields Water County Council,Water Resources,Use,W20,Report,Volume of recycled water supplied to residential customers,ML,,0,0,No data,0,Not applicable,Not applicable,83,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Water Treatment Plants,A1,Report,Number of water treatment plants providing full treatment,plants,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Other Water Assets,A2,Report,Length of water mains,km,,357,353,340,306,306,304,294,292,282,281,279,274,269,269,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Other Water Assets,A3,Derived,Number of properties served per km of water main,properties/km,,36,36,37,40,39,39,38.9,38.7,40,37,36,39,39,38,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Wastewater assets,A4,Report,Number of wastewater treatment plants,plants,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Wastewater assets,A5,Report,Length of sewer mains and channels,Km,,326,320,44,302,297,294,285,,285,283,283,277,272,272,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Wastewater assets,A6,Derived,Number of properties served per km of sewer main,properties/km,,33.7,35,252,36,36,38,38.3,,38,37,34,37,38,35,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Water Main Breaks,A8,Derived,"Number of water main breaks, bursts, and leaks, per 100 km of water mains",mains breaks/100 km,,2,2.8,4.7,14.4,8.2,19.7,19,14.7,9.6,10.7,10.7,,15.6,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Water Losses,A9,Report,Infrastructure leakage index (ILI),ratio,,0.5,0.5,0.1,0.5,1.6,1.2,1,1,1,1,1,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Water Losses,A10,Report,Real losses: service connections,L/service connection/day,,40,38,12,40,119,95,67.3,40,70,82,68,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Water Losses,A11,Report,Real losses: water mains,kL/km water main/day,,1.4,1.3,0.4,1.6,4.5,3.3,2.4,,2.5,2.9,2.4,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Wastewater breaks and chokes,A14,Report,Number of sewer mains breaks and chokes per 100 km,breaks and chokes/100km,,60,33,277,44,44,69,106.7,45,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Wastewater breaks and chokes,A15,Report,"Number of property connection sewer breaks and chokes per 1,000 properties","breaks and chokes/1,000 properties",,8.4,9.1,10.4,12.6,14.7,18,17.4,17,6.6,5.2,12.9,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Assets,Water Main Breaks,IA8,Report,"Number of water main breaks, bursts, and leaks",mains breaks,,7,10,16,44,25,60,56,43,27,30,30,,42,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Connected Properties and Population,C1,Report,Population receiving services: water supply,population 000s,,29,26,23.8,23.8,23.8,23.8,23.8,22.5,22.5,22.5,22.5,22.5,21.6,21.6,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Connected Properties and Population,C2,Report,Number of connected residential properties: water supply,population 000s,,12,11,11.3,11,10.8,10.7,10.359,10.219,10.1,9.2,9.1,9.6,9.6,9.4,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Connected Properties and Population,C3,Report,Number of connected non-residential properties: water supply,population 000s,,1.2,1.2,1.2,1.2,1.1,1.1,1.083,1.072,1.1,1.2,0.8,1.1,1.1,0.8,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Connected Properties and Population,C4,Derived,Total number of connected properties: water supply,population 000s,,13,13,12.5,12.2,12,11.7,11.442,11.291,11.2,10.4,9.9,10.8,10.6,10.2,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Goulburn Mulwaree Council,Customers,Connected Properties and Population,C6,Report,Number of connected residential properties: wastewater,population 000s,,10,10,10,9.9,9.6,10.2,9.92,9.92,9.8,9.5,8.9,9.3,9.3,8.7,,,,,,,
